Set Transaction Arrival Rate,Actual Transaction Arrival Rate,Block Size,Orderers,Throughput,Avg Latency,Min Latency,Max Latency
10.0,10.0,10.0,3,10.0,0.49,0.02,0.95
10.0,10.0,15.0,3,9.9,0.76,0.03,2.05
10.0,10.0,20.0,3,10.0,1.0,0.03,1.96
10.0,10.0,25.0,3,9.9,1.1,0.05,2.14
10.0,10.0,30.0,3,9.9,1.08,0.03,2.1
10.0,10.0,35.0,3,9.9,1.07,0.03,2.17
10.0,10.0,40.0,3,9.8,1.07,0.03,2.18
10.0,10.0,45.0,3,10.0,1.08,0.04,2.11
10.0,10.0,50.0,3,9.9,1.09,0.04,2.12
10.0,10.0,55.0,3,10.0,1.08,0.04,2.58
10.0,10.0,60.0,3,9.9,1.08,0.04,2.17
10.0,10.0,65.0,3,9.8,1.07,0.04,2.12
10.0,10.0,70.0,3,9.9,1.07,0.03,2.17
10.0,10.0,75.0,3,9.9,1.08,0.03,2.24
10.0,10.0,80.0,3,9.9,1.08,0.04,2.11
10.0,10.0,85.0,3,9.9,1.08,0.04,2.13
10.0,10.0,90.0,3,9.8,1.08,0.04,2.36
10.0,10.0,95.0,3,9.9,1.08,0.04,2.44
10.0,10.0,100.0,3,9.9,1.08,0.03,2.46
10.0,10.0,105.0,3,10.0,1.09,0.03,3.06
10.0,10.0,110.0,3,9.8,1.08,0.03,2.28
10.0,10.0,115.0,3,9.9,1.08,0.03,2.32
10.0,10.0,120.0,3,9.9,1.07,0.03,2.27
10.0,10.0,125.0,3,9.9,1.08,0.05,2.54
10.0,10.0,130.0,3,9.8,1.07,0.04,2.18
10.0,10.0,135.0,3,9.9,1.08,0.04,2.1
10.0,10.0,140.0,3,9.9,1.09,0.04,2.12
10.0,10.0,145.0,3,9.9,1.09,0.04,2.45
10.0,10.0,150.0,3,9.9,1.08,0.04,2.09
10.0,10.0,155.0,3,9.9,1.09,0.04,2.63
10.0,10.0,160.0,3,9.9,1.09,0.03,2.14
10.0,10.0,165.0,3,9.9,1.09,0.04,2.35
10.0,10.0,170.0,3,9.9,1.08,0.05,2.12
10.0,10.0,175.0,3,10.0,1.09,0.04,2.19
10.0,10.0,180.0,3,9.9,1.08,0.04,2.32
10.0,10.0,185.0,3,9.9,1.1,0.04,2.13
10.0,10.0,190.0,3,9.8,1.1,0.05,2.62
10.0,10.0,195.0,3,9.8,1.1,0.04,2.38
10.0,10.0,200.0,3,9.8,1.1,0.06,2.15
10.0,10.0,205.0,3,9.9,1.1,0.05,2.14
10.0,10.0,210.0,3,9.9,1.1,0.05,2.35
10.0,10.0,215.0,3,9.9,1.11,0.06,2.2
10.0,10.0,220.0,3,9.8,1.11,0.05,2.5
10.0,10.0,225.0,3,9.9,1.1,0.06,2.14
10.0,10.0,230.0,3,9.9,1.1,0.04,2.14
10.0,10.0,235.0,3,9.8,1.1,0.03,2.54
10.0,10.0,240.0,3,10.0,1.11,0.04,2.89
10.0,10.0,245.0,3,9.8,1.11,0.04,2.77
10.0,10.0,250.0,3,10.0,1.1,0.04,2.76
10.0,10.0,255.0,3,9.8,1.09,0.04,2.14
10.0,10.0,260.0,3,9.8,1.11,0.03,2.57
10.0,10.0,265.0,3,9.8,1.09,0.04,2.29
10.0,10.0,270.0,3,9.8,1.1,0.04,2.34
10.0,10.0,275.0,3,9.8,1.1,0.06,2.49
10.0,10.0,280.0,3,9.9,1.11,0.06,2.23
10.0,10.0,285.0,3,9.9,1.11,0.05,2.37
10.0,10.0,290.0,3,10.0,1.11,0.03,3.25
10.0,10.0,295.0,3,9.8,1.11,0.06,2.17
10.0,10.0,300.0,3,9.8,1.11,0.05,2.73
10.0,10.0,305.0,3,9.9,1.11,0.06,2.16
10.0,10.0,310.0,3,10.0,1.1,0.07,2.12
10.0,10.0,315.0,3,9.9,1.1,0.04,2.24
10.0,10.0,320.0,3,9.8,1.1,0.04,2.23
10.0,10.0,325.0,3,9.9,1.1,0.04,2.34
10.0,10.0,330.0,3,9.9,1.1,0.05,2.21
10.0,10.0,335.0,3,9.9,1.1,0.05,2.22
10.0,10.0,340.0,3,9.9,1.09,0.05,2.13
10.0,10.0,345.0,3,9.9,1.1,0.04,2.22
10.0,10.0,350.0,3,9.9,1.1,0.05,2.13
10.0,10.0,355.0,3,9.9,1.1,0.04,2.14
10.0,10.0,360.0,3,9.9,1.09,0.05,2.11
10.0,10.0,365.0,3,9.9,1.09,0.05,2.13
10.0,10.0,370.0,3,9.9,1.1,0.05,2.16
10.0,10.0,375.0,3,9.9,1.1,0.03,2.42
10.0,10.0,380.0,3,9.9,1.09,0.02,2.13
10.0,10.0,385.0,3,9.8,1.09,0.03,2.29
10.0,10.0,390.0,3,9.9,1.1,0.05,2.12
10.0,10.0,395.0,3,9.9,1.11,0.07,2.47
10.0,10.0,400.0,3,9.9,1.1,0.04,2.33
10.0,10.0,405.0,3,9.8,1.1,0.06,2.7
10.0,10.0,410.0,3,9.8,1.1,0.04,2.74
10.0,10.0,415.0,3,9.8,1.09,0.05,2.34
10.0,10.0,420.0,3,9.9,1.1,0.06,2.13
10.0,10.0,425.0,3,9.9,1.11,0.06,2.56
10.0,10.0,430.0,3,9.9,1.1,0.04,2.28
10.0,10.0,435.0,3,10.0,1.1,0.07,2.14
10.0,10.0,440.0,3,9.9,1.11,0.06,3.42
10.0,10.0,445.0,3,9.9,1.1,0.03,2.25
10.0,10.0,450.0,3,9.9,1.1,0.05,2.11
10.0,10.0,455.0,3,9.9,1.1,0.05,2.13
10.0,10.0,460.0,3,9.8,1.09,0.05,2.2
10.0,10.0,465.0,3,9.9,1.1,0.05,2.43
10.0,10.0,470.0,3,9.9,1.09,0.05,2.33
10.0,10.0,475.0,3,9.9,1.09,0.04,2.15
10.0,10.0,480.0,3,10.0,1.09,0.04,2.91
10.0,10.0,485.0,3,9.9,1.1,0.05,2.35
10.0,10.0,490.0,3,9.9,1.1,0.05,2.22
10.0,10.0,495.0,3,9.9,1.1,0.04,2.42
10.0,10.0,500.0,3,9.8,1.09,0.05,2.22
10.0,10.0,505.0,3,9.9,1.09,0.05,2.18
10.0,10.0,510.0,3,9.8,1.09,0.04,2.54
10.0,10.0,515.0,3,9.9,1.09,0.03,2.13
10.0,10.0,520.0,3,9.8,1.1,0.05,2.88
10.0,10.0,525.0,3,9.8,1.1,0.05,2.33
10.0,10.0,530.0,3,9.8,1.08,0.03,2.28
10.0,10.0,535.0,3,9.8,1.1,0.04,2.52
10.0,10.0,540.0,3,9.9,1.1,0.05,2.13
10.0,10.0,545.0,3,9.8,1.09,0.05,2.12
10.0,10.0,550.0,3,9.8,1.1,0.06,2.72
10.0,10.0,555.0,3,9.9,1.1,0.03,2.43
10.0,10.0,560.0,3,9.8,1.1,0.04,2.73
10.0,10.0,565.0,3,9.9,1.09,0.03,2.12
10.0,10.0,570.0,3,9.8,1.08,0.03,2.16
10.0,10.0,575.0,3,9.8,1.1,0.04,2.73
10.0,10.0,580.0,3,9.8,1.09,0.04,2.33
10.0,10.0,585.0,3,9.9,1.09,0.05,2.26
10.0,10.0,590.0,3,9.9,1.09,0.06,2.13
10.0,10.0,595.0,3,9.8,1.09,0.05,2.18
10.0,10.0,600.0,3,9.9,1.1,0.04,2.2
10.0,10.0,605.0,3,9.9,1.1,0.04,2.15
10.0,10.0,610.0,3,9.9,1.1,0.05,2.12
10.0,10.0,615.0,3,9.9,1.1,0.04,2.33
10.0,10.0,620.0,3,9.9,1.1,0.05,2.21
10.0,10.0,625.0,3,9.8,1.09,0.05,2.19
10.0,10.0,630.0,3,9.8,1.1,0.04,2.28
10.0,10.0,635.0,3,9.8,1.09,0.05,2.13
10.0,10.0,640.0,3,9.8,1.08,0.04,2.12
10.0,10.0,645.0,3,9.8,1.09,0.04,2.28
10.0,10.0,650.0,3,10.0,1.1,0.05,2.91
10.0,10.0,655.0,3,9.8,1.09,0.04,2.21
10.0,10.0,660.0,3,9.9,1.09,0.04,2.11
10.0,10.0,665.0,3,9.9,1.09,0.04,2.13
10.0,10.0,670.0,3,9.9,1.1,0.06,2.32
10.0,10.0,675.0,3,9.9,1.11,0.06,2.2
10.0,10.0,680.0,3,10.0,1.1,0.05,2.12
10.0,10.0,685.0,3,9.8,1.09,0.04,2.43
10.0,10.0,690.0,3,9.9,1.09,0.05,2.13
10.0,10.0,695.0,3,9.8,1.09,0.05,2.42
10.0,10.0,700.0,3,9.9,1.09,0.03,2.27
10.0,10.0,705.0,3,9.9,1.08,0.04,2.1
10.0,10.0,710.0,3,9.9,1.08,0.04,2.23
10.0,10.0,715.0,3,9.8,1.08,0.04,2.53
10.0,10.0,720.0,3,9.9,1.09,0.05,2.46
10.0,10.0,725.0,3,9.9,1.1,0.03,2.74
10.0,10.0,730.0,3,9.9,1.08,0.04,2.19
10.0,10.0,735.0,3,9.8,1.09,0.04,2.97
10.0,10.0,740.0,3,9.9,1.09,0.05,2.32
10.0,10.0,745.0,3,9.8,1.08,0.05,2.27
10.0,10.0,750.0,3,9.9,1.08,0.03,2.1
10.0,10.0,755.0,3,9.8,1.07,0.03,2.28
10.0,10.0,760.0,3,9.8,1.08,0.04,2.51
10.0,10.0,765.0,3,9.9,1.08,0.03,2.11
10.0,10.0,770.0,3,9.9,1.09,0.03,2.34
10.0,10.0,775.0,3,9.9,1.08,0.04,2.5
10.0,10.0,780.0,3,9.8,1.07,0.04,2.11
10.0,10.0,785.0,3,9.8,1.08,0.03,2.52
10.0,10.0,790.0,3,9.9,1.08,0.05,2.28
10.0,10.0,795.0,3,9.9,1.08,0.03,2.13
10.0,10.0,800.0,3,9.8,1.1,0.04,3.15
15.0,15.0,10.0,3,15.0,0.34,0.02,0.67
15.0,15.0,15.0,3,14.7,0.53,0.02,2.05
15.0,15.0,20.0,3,15.0,0.69,0.03,1.34
15.0,15.0,25.0,3,15.0,0.87,0.04,1.7
15.0,15.0,30.0,3,14.7,1.04,0.04,2.04
15.0,15.0,35.0,3,14.7,1.08,0.04,2.1
15.0,15.0,40.0,3,14.7,1.09,0.05,2.13
15.0,15.0,45.0,3,14.7,1.1,0.05,2.14
15.0,15.0,50.0,3,14.8,1.09,0.06,2.11
15.0,15.0,55.0,3,14.7,1.11,0.06,2.14
15.0,15.0,60.0,3,14.7,1.1,0.06,2.11
15.0,15.0,65.0,3,14.7,1.08,0.05,2.1
15.0,15.0,70.0,3,14.7,1.11,0.06,2.13
15.0,15.0,75.0,3,14.7,1.09,0.05,2.11
15.0,15.0,80.0,3,14.7,1.09,0.04,2.12
15.0,15.0,85.0,3,14.7,1.08,0.06,2.09
15.0,15.0,90.0,3,14.7,1.1,0.06,2.12
15.0,15.0,95.0,3,14.7,1.11,0.07,2.14
15.0,15.0,100.0,3,14.7,1.09,0.06,2.1
15.0,15.0,105.0,3,14.7,1.08,0.04,2.11
